news_headline,news_article,news_category,compound,Review
deserved justice rahul leaders condole stan swamys death,congress leader rahul gandhi jharkhand cm hemant soren kerala cm pinarayi vijayan political leaders condole death father stan swamy tribal right activist arrest elgar parishad case october last year rahul say deserve justice humaneness centre answerable absolute apathy nonprovision timely medical service soren say,politics,-0.6249,negative
owaisi inaugurate 1st aimim office ahead assembly polls,ahead uttar pradesh assembly poll 2022 asaduddin owaisiled aimim set open firstparty office owaisi schedule arrive state inaugurate office bahraich district approximately 120 kilometres capital lucknow july 8 party earlier announce contest 100 seat,politics,0.4019,positive
11yrold aims immortality becomes worlds 2nd youngest graduate,belgiums 11yearold laurent simons become worlds secondyoungest graduate complete bachelor physics university antwerp one year first puzzle piece goal replace body part mechanical part say simons aim immortality us michael kearney graduate age 10 hold record worlds youngest graduate,technology,0.0,negative
didi loses 22 billion china blocks app app stores,didis share slump much 30 us premarket trade tuesday wipe 22 billion market value come china order app store remove didis ridehailing app find illegally collect users personal data last week didi become biggest chinese company since alibaba list us stock exchange,technology,0.5574,positive
bezos refused take elevator ran 14 flights stairs office exassistant,amazon founder jeff bezos refuse take elevator amazons 14thfloor office would run step without break sweat bezos former executive assistant ann hiatt tell cnbc like puppy would lap never tire hiatt add bezos worlds richest person step amazons ceo monday,technology,0.6369,positive
twitter not take long wants appoint grievance officer delhi hc,delhi high court tuesday express displeasure twitter delay appointment grievance redressal officer long process take twitter think take long want country I not allow judge say court add twitter mislead court not tell earlier appoint interim officer,technology,-0.6971,negative
twitter restricts account new zealand professor mocked xi restores later,new zealand professor annemarie brady specialise chinese politics say twitter restrict account mock chinese president xi jinping tweet brady tweet opinion article write caption alternative headline xi party I cry want tweet also make unavailable temporarily,technology,-0.6705,negative
amazon mistakenly sells 96700 split ac 5900 fixes error buy,amazon indias website briefly list 18ton inverter split air conditioner cost 96700 5900 due error accord india today report amazon users make purchase amazon realise error however report not specify happen order product later list 59000 39 discount,technology,-0.3182,negative
muslim womens pics shown deal day sui deals app github removed,application call sui deal opensource platform github remove criticism display muslim womens picture name deal day shock see face right display deal day pilot hana mohsin khan say sui derogatory term use refer muslim women,technology,-0.6705,negative
not giving protection twitter centre free take action delhi hc,delhi high court pull twitter allege noncompliance new rule add not give protection twitter centre free take action twitter rule notify february 25 three months time compliance july 1 twitter fail comply rule,technology,-0.0516,negative
ceo failed silicon valley worth 19 bn returning japan,japan 48yearold entrepreneur takanori nakamura pull silicon valley 2015 mobile market software flop worth 19 billion nakamura move back japan currently serve president ceo cloudbased expense software firm rakus company share surge 4800 since ipo tokyo december 2015,technology,0.1779,positive
hyderabadbased techie develops mileage booster vehicles,hyderabadbased technician claim develop mileage booster vehicles 100 cc 10000 cc david eshkol chief technologist developer 5m mileage boost say successfully boost engines around 8000 vehicles include twowheelers fourwheelers case truck bus,technology,0.8225,positive
1500 businesses affected cyberattack us firm kaseya ceo,1500 businesses across world affect ransomware attack us information technology company kaseya company ceo fred voccola say come hackers claim responsibility attack demand 520 crore 70 million restore affect businesses data voccola add would no comment negotiate hackers,technology,-0.7717,negative
twitter gives free nft uk politican sells 82 lakh,twitter award one free 140 nfts announce give away uk politician post poem response twitter announcement margaret corvid give nft title reply guy represent man behind mansplaining later sell nearly 82 lakh corvid already reinvested 298 lakh cryptopunk,technology,0.7783,positive
nft sales volume surges 25 bn first half 2021 report,market nonfungible tokens nfts surge new highs second quarter 2021 record around 25 billion sales far year accord marketplace data figure around 137 million period year ago nfts crypto assets represent unique digital items like image videos ingame items,technology,0.4939,positive
dot plans 10000 fine per fraud sms 50 violations report,dot propose fin 10000 per fraudulent call sms make telemarketers per report penalty 1000 per violation levy 010 breach 5000 1050 violations 10000 50 violations system generate message also send suspect number verification report say,technology,-0.9524,negative
tesla sued 15yrold us boys death crash involving model 3,family 15yearold us boy die 2019 crash involve tesla model 3 autopilot sue tesla tesla rearended boys vehicle throw video record tesla reportedly show autopilot not slow car fraction second crash,technology,-0.8519,negative
china asked didi global delay us ipo data concern report,chinese regulators ask didi global early three months ago delay us ipo national security concern involve large amount data bloomberg report earlier didi say no knowledge probe china ipo china reportedly worry didis data potentially fall foreign hand,technology,-0.2023,negative
cryptos volatility hurt invest trade us billionaire,american billionaire microstrategys ceo michael saylor say cryptocurrencys volatility always hurt invest purely trade base speculation people invest bitcoin traders anddo nothave technological view macro vieware always go disappoint volatility add microstrategy hold 1 lakh bitcoins,technology,-0.7269,negative
entrepreneur like gates musk kiyosaki young people,rich dad poor dad author robert kiyosaki recent interview yahoo say young people not become employee entrepreneur like tesla ceo elon musk microsoft cofounder bill gate add young people not go school become employees become entrepreneurs capitalists build businesses create job,technology,0.6249,positive
andy murrays 2013 wimbledon winning moment sells nft 132 cr,tennis player andy murray auction moment wimbledon tennis tournament 2013 nft 177777 132 crore winner nft get chance play tennis murray 30 minutes england club two centre court ticket wimbledon gentlemens final 2022,technology,0.802,positive
bitcoin fluctuates china shuts firm crypto trading,bitcoin fluctuate chinas central bank order shutdown beijingbased software company allegedly provide cryptocurrency relate service company operations suspend website deactivate authorities say bitcoin rise much 37 35094 drop back announcement later trade around 34194 tuesday,technology,-0.5267,negative
firoz not paid welcome not film even offers 10cr snehal,actor snehal daabbi claim producer firoz nadiadwala not pay work 2007 film welcome firoz bhai would assure pay hence disillusionedand wonder kind industry snehal tell bollywood hungama not film even offer 10 crore snehal add,entertainment,0.8269,positive
sara ali khan reunite aanand l rai nakhrewali report,sara ali khan aanand l rai reportedly team upcoming film title nakhrewali see essay titular role definitely go outandout entertainer report state actress also see aanands upcoming film atrangi also star akshay kumar dhanush,entertainment,0.8074,positive
I called laughing buddha show farah zee comedy,speak part upcoming comedy show zee comedy factory filmmaker farah khan say I call laugh buddha artistes entertain along audience stressful time think get best job entertain best comedy business add,entertainment,0.9628,positive
anushka sharma starrer jhulan goswamis biopic not shelved reports,india women fast bowler jhulan goswamis biopic reportedly feature actressproducer anushka sharma lead role not shelve currently development per report script approve director would finalise anushka would start preparation report state film not go floor 2021end add,entertainment,0.0,negative
like freedom make food sonam life london,sonam kapoor move london husband anand ahuja talk freedom enjoy city say like freedom herei make food clean space shop groceries sonam say london make realise I indiani realise immigrant actually mean,entertainment,0.9501,positive
rajkumar hirani hands original camera negative pk nfai,national film archive india nfai tuesday acquire original camera negative director rajkumar hiranis 2014 film pk duty filmmaker ensure film preserve appeal filmmakers support nfai important hirani say,entertainment,0.5719,positive
mominlaw rejected proposal poonam due complexion shatrughan,recent appearance indian idol 12 actorturnedpolitician shatrughan sinha reveal wife poonam sinhas mother initially reject marriage proposal actress would say daughter fair beautiful dark pose together colour photograph would look blackandwhite say,entertainment,0.5423,positive
beginning explore potential dia mirza ott,dia mirza see web show kaafir speak ott platforms say asactor producerthis new medium haschallenged inspire discover new facets storytelling vasthorizon begin explore potential add dia say thematic versatility creative freedom digital platforms offer refresh,entertainment,0.8957,positive
keep punching salman wishes sylvester stallone birthday,salman khan take twitter tuesday wish american actor sylvester stallone occasion birthday share picture rocky actor write wish happy bday theslystallone good health love happiness power keep punch hollywood actor turn 75 tuesday,entertainment,0.9682,positive
shweta tripathi joins taapsee pannu starrer rashmi rocket,mirzapur actress shweta tripathi turn 36 today bag pivotal role taapsee pannu starrer rashmi rocket shwetas birthday tuesday film production house make announcement tweet fight world truth justice not let smile fool film direct akarsh khurana,entertainment,0.5261,positive
everything comes end vikram mahesh mukesh bhatt split,filmmaker vikram bhatt open professional split brothers mahesh bhatt mukesh bhatt everything come endhe maheshis not motivate moneyso continue part company obviously thrive moneyhe mahesh no interest make rich people richer vikram explain,entertainment,0.5165,positive
dharmendra jaya shabana join ranveer alia karans upcoming film,filmmaker karan johar rope veteran actors dharmendra jaya bachchan shabana azmi upcoming directorial movie rocky aur rani ki prem kahani star ranveer singh alia bhatt lead roles thrill work veteran legends not wait set karan write instagram,entertainment,0.3612,positive
mother still touch exgirlfriends vikrant massey,actor vikrant massey talk past relationships bond parent say every single girlfriend I parent know mother also know couple still touch come also reveal start date properly age 17,entertainment,0.0,negative
ajays bhuj pride india release ott aug 13,ajay devgn take twitter tuesday announce release date film bhuj pride india film base real events 1971 indopak war release ott platform august 13 abhishek dudhaiya directorial also feature sanjay dutt ammy virk sonakshi sinha sharad kelkar nora fatehi,entertainment,-0.3612,negative
anupam shares old pic dicaprio says kind affectionate,take instagram anupam kher share old picture hollywood actor leonardo dicaprio recall latter react introduce indian actor say indian actor say know ask give warm hug kind affectionate write,entertainment,0.91,positive
ranveer alias rocky aur rani go floors aug reports,ranveer singh alia bhatts rocky aur rani ki prem kahani reportedly go floor august per report upcoming film love story north indian boy bengali girl stay delhi film direct karan johar also feature dharmendra shabana azmi jaya bachchan,entertainment,0.6369,positive
arshad denies report appearing anupamaa opposite rupali,actor arshad warsi refute report say might star opposite rupali ganguly show anupamaa take twitter share news report write news absolutely untrue please get facts right arshad next see akshay kumarstarrer bachchan pandey expect release january 26 next year,entertainment,0.5829,positive
actress rupal patel hospitalised husband says fine,actress rupal patel know part tv show saath nibhaana saathiya admit hospital reason hospitalisation not know husband radha krishan dutt say fine rupal expect discharge hospital next three four days report say,entertainment,0.3818,positive
britneys manager resigns 25 yrs shares singers plan retire,britney spear manager 25 years larry rudolph resign duties accord variety letter singers father jamie spear larry cite singers intention officially retire reason resignation believe britneys best interest resignas professional service no longer need larry state,entertainment,0.34,positive
mumbai court rejects bail plea actor ajaz khan drugs case,court mumbai tuesday reject bail application actor ajaz khan arrest narcotics control bureau ncb connection drug case march year 45 grams alprozol tablets recover house search ncb officials say time arrest,entertainment,-0.7579,negative
bmw launches new bmw 5 series india,bmw launch latest version luxury sedan bmw 5 series india car promise offer bestinclass acceleration adaptive suspension ultimate drive pleasure iconic sedan feature bmw laserlight technology couple advance driver park assistance systems bmw say set new definition intelligent drive,automobile,0.8402,positive
princess dianas 40yrold ford escort gifted prince charles auctioned 48 lakh,ford escort car own diana princess wales sell 47000 48 lakh exclude tax south american museum buy car auction 1981 ford escort 16 ghia car gift princess wales prince charles two months wed,automobile,0.25,positive
ms dhoni gifts wife sakshi vintage car 11th wedding anniversary shares pic,former india captain ms dhoni gift wife sakshi dhoni vintage car occasion 11th wed anniversary sakshi take instagram stories share picture car thank anniversary gift write alongside picture ms dhoni sakshi get marry dehradun july 4 2010,automobile,0.8591,positive
flying cars prototype completes 35min test flight slovakia video released,prototype convertible fly car aircar successfully complete 35minute test flight international airports nitra bratislava slovakia take 135 second transform car aircraft aircars creator stefan klein say could fly 1000 kilometres height 8200 ft single fuel tank topup,automobile,0.4939,positive
tesla model plaid caught fire us owner driving says lawyer,teslas latest model plaid electric car burst flame owner drive us three days 129900 97lakh vehicle deliver drivers lawyer tell reuters driver initially not able get car electronic door system fail use force push open add,automobile,-0.5423,negative
worlds biggest superyacht offer 39 apartments starting 84 crore,designers unveil plan somnio 222metre vessel due launch 2024 worlds largest superyacht makers offer 39 apartments superyacht build norway 7star hotel service access wine cellar price start 84 crore apartments also kitchen gym library,automobile,0.0,negative
tata motors hits 10 lower circuit jlr expects chip shortage worsen,tata motor share hit 10 lower circuit tuesday jaguar land rover jlr say expect chip shortage greater quarter end september shortage result wholesale volumes 50 lower plan second quarter say level shortages continuetoend year beyond add,automobile,-0.5106,negative
phase 1 worlds largest 2wheeler factory tn nears completion ola ceo shares pic,ola ceo bhavish aggarwal saturday announce phase 1 500acre electric scooter factory tamil nadu near completion share picture site agarwal write 4 months placetransformed acres empty rock land worlds largest twowheeler factory earlier ola say factory produce one scooter every two second,automobile,0.1027,positive
tesla rival triton ev invest 2100 cr telangana create 25000 jobs,electric carmaker teslas rival usbased triton ev sign mou telangana government invest 2100 crore establish new manufacture facility zaheerabad investment create 25000 job state industries minister kt rama rao say unit expect produce 50000 sedans luxury suvs vehicles first five years,automobile,0.2732,positive
volkswagen gives control bugatti croatian ev maker porsche,volkswagen say give control ultraluxury brand bugatti croatian ev maker rimac porsche rimac 55 joint venture call bugattirimac porsche another brand volkswagen 45 volkswagen acquire bugatti 112yearold brand 1998 around 50 million relaunched 2005,automobile,0.0,negative
asias longest highspeed track measuring 113 km inaugurated mp,union minister prakash javadekar virtually inaugurate asias longest highspeed track indore madhya pradesh proud moment india key initiative realise pm modis vision aatmanirbharbharat javadekar tweet new facility measure 113 km length ensure vehicles test evaluate india not need send overseas,automobile,0.7717,positive
cybertruck rear wheel steering tight turns musk,tesla ceo elon musk reveal automakers cybertruck rear wheel steer vehicle tight turn manoeuvre high agility say cybertrucks design almost exactly show introduction 2019 earlier report cybertruck could travel 980 kilometres single charge,automobile,0.0,negative
porsche recalls 43000 taycan cars sudden power loss issue,porsche recall 43000 units electric taycan cars faulty software batterypowered engine suddenly shut recall affect taycan model produce june cars receive software update fix issue porsche say taycan porsches first fullyelectric car model unveil 2019,automobile,-0.3182,negative
tesla offered 1000hectare land gujarat set unit report,tesla offer estimate 1000hectare land gujarats mundra set electric vehicle manufacture assemble unit indian express report land offer inside outside adani port special economic zone official say teslas yet decide whether new unit pure export unit add,automobile,0.4019,positive
selfdriving startup ponyai hires jpmorgan exec cfo,toyotabacked selfdriving startup ponyai hire jpmorgans current vice chairman investment bank lawrence steyn cfo steyn hold variety leadership roles include manage director morgan stanley executive director goldman sachs prior jpmorgan ponyai consider go public us reuters report,automobile,0.0,negative
tesla sued 15yrold us boys death crash involving model 3,family 15yearold us boy die 2019 crash involve tesla model 3 autopilot sue tesla tesla rearended boys vehicle throw video record tesla reportedly show autopilot not slow car fraction second crash,automobile,-0.8519,negative
us man sues tesla fee supercharger stations,us man sue tesla impose fee people leave car supercharger station long seek represent early tesla adopters recover cost say customer refuse pay fee tesla cut supercharge access entirely tesla promise early adopters free supercharge life,automobile,-0.0571,negative
tesla recall 3 lakh cars remotely china autopilot risks,tesla recall nearly 3 lakh cars china remotely risk relate autopilot feature issue cause autopilot systems easily activate drive could potentially lead car crash recall cover 249 lakh chinamade model 3 model cars 35665 import model 3 sedans,automobile,-0.34,negative
flying cars reality 2030 hyundais europe chief,hyundai motor europes ceo michael cole recent conference say fly cars become reality end decade cole say years ago something never think would see company develop electric fly taxis able transport five six people highly congest urban centre airports,automobile,0.0,negative
volkswagen end sales combustion engines europe 2035,volkswagen stop sell combustion engine cars europe 2035 volkswagen board member sales klaus zellmer say firm exit business internal combustion vehicles us china somewhat later add exit south america africa would take longer due lack political infrastructure framework condition,automobile,-0.5423,negative
